TEAM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON_Champions,POSTSEASON_E8,POSTSEASON_F4,POSTSEASON_None,POSTSEASON_R32,POSTSEASON_R64,POSTSEASON_R68,POSTSEASON_S16,SEED_2.0,SEED_3.0,SEED_4.0,SEED_5.0,SEED_6.0,SEED_7.0,SEED_8.0,SEED_9.0,SEED_10.0,SEED_11.0,SEED_12.0,SEED_13.0,SEED_14.0,SEED_15.0,SEED_16.0,SEED_None,Wins_Fraction
Louisville,112,96.4,0.8486,51.8,47,16.7,18.9,28.6,31.4,31.9,29.3,49.7,45.8,37.1,32.9,70.6,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.588235294
Arkansas,116.7,100.4,0.8483,53.8,50.4,15.1,19.4,28.8,31.7,37.4,40.8,51.2,48.2,39.5,35.7,71.1,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.529411765
Saint Mary's,118.7,102.3,0.8468,58.7,49.2,15.4,15.1,28.9,22.8,30.4,24.8,57.1,49.5,41,32.3,64.6,1.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.647058824
Nevada,118.9,102.5,0.8462,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.852941176
Loyola Chicago,110.5,95.4,0.8444,57.7,47.4,19.1,19.4,22.1,25.9,32.2,25.2,56.6,47.1,39.8,32,66.4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.606060606
Marquette,120.1,103.8,0.8434,56.8,53.8,17.3,18.1,27.6,29.6,28.8,38.9,52.2,53.8,41.7,35.9,70.4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.705882353
Baylor,110.5,95.5,0.843,51.8,47.7,19.8,17.2,35.5,29.7,32.2,30.2,51.3,46.2,35.4,33.4,67.6,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.588235294
USC,114,98.6,0.8423,53.8,51,15.3,19.2,30,28.8,29.9,26.6,52.4,49.8,37.6,35.2,69,-0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.484848485
Missouri,111,96,0.842,54.1,46.7,20.8,16,30.3,27.9,38.3,30.3,50.3,45.4,39,32.7,66.8,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.46875
Oklahoma,114.6,99.5,0.835,53.5,51,17.3,16.8,28.4,30,33.2,25.6,53.3,49.1,35.9,36.2,76.7,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.588235294
Syracuse,106,92.1,0.8344,46.9,46.2,19.1,19.5,34.7,30.4,40.5,31.4,46.6,45.1,31.7,31.8,64,-0.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.588235294
Mississippi St.,111.2,96.6,0.8343,52.2,48.3,19.1,19.5,32.1,30.7,31.7,29.7,55.2,47.2,31.5,33.3,68.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.676470588
Nebraska,110.4,96.1,0.8325,49.1,47,16,18.3,30.1,34,37.6,26.5,47.6,46.5,34.6,32.2,68.7,1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.542857143
Notre Dame,114.1,99.4,0.8305,51.1,49.3,14.7,16.4,31.1,28.8,31,22.6,49.6,47,35.6,35.4,66.7,-0.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.424242424
Davidson,117,102.3,0.823,57.4,51.2,14.5,16.2,22.6,23.4,24.6,29.6,56.5,50.3,38.9,35,65.5,-2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.727272727
North Carolina St.,115.6,101.3,0.821,53.4,51.6,16.8,20.4,33.4,32,34.2,33.7,52.1,53.6,37.2,31.6,72.8,0.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.666666667
Middle Tennessee,110.3,96.8,0.8186,53.1,49.2,18.6,19.1,30.7,22.3,30.1,40.8,51.9,50.4,37.1,31.5,67.7,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.366666667
Utah,111.4,97.9,0.8156,54.5,48.3,17.5,17.5,24.1,28.6,34.4,28.8,53.6,47,37,33.6,67.1,-1.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.548387097
Arizona St.,115.7,102.1,0.8089,53.8,50.6,14.7,20.4,28,30.6,41.3,32.7,53.2,50.2,36.4,34.2,72.7,-1.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.676470588
Boise St.,109.2,96.3,0.8087,53.8,48.8,18.9,16.4,29.3,18.4,31,29.5,52,48.4,37.5,33,70.1,-0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40625
Alabama,107.9,95.3,0.8074,51.9,47.8,20.3,18.7,29.4,30.9,41.9,36.5,53.5,46.9,32.6,32.8,69.9,-1.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.529411765
Western Kentucky,113.8,100.7,0.8039,54.2,49.4,16.6,17.9,29,29.3,40,23.9,54.6,46.7,35.4,36,69.5,-1.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.588235294
UCLA,113.7,100.6,0.8029,53.7,49.1,16.6,14.5,28.5,26.9,35.5,29.7,51.4,47.3,38.1,34.6,71.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.515151515
Providence,108.4,95.9,0.8027,49.6,50.3,17.4,19,28.9,29,38.6,31.8,49.5,51.5,33.2,32.2,68.3,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.529411765
Georgia,107.5,95.3,0.8007,47.5,45.6,19.2,14.5,34.8,28.9,40.1,27.7,47.4,43.1,31.8,33.2,65.6,-1.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.34375
South Dakota St.,113.2,100.4,0.7989,54.3,50,14,14.2,24.6,23.3,35.4,25.6,50.7,49.8,39.3,33.6,71.5,0.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.75
Rhode Island,109.7,97.3,0.7988,51.1,50.4,15.3,22.6,31,28.2,30.1,40.6,50.4,50.6,35.2,33.2,69.6,1.6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.545454545
New Mexico St.,106.8,95,0.7927,51.6,46,17.4,19,33.8,22.5,29.1,33,52,45.7,34,31.1,69.4,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.909090909
Old Dominion,107.5,95.7,0.791,50.7,47.7,15.5,21.6,32.3,26.2,33,30.3,49.3,45.6,35.7,33.8,66,-0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.742857143
Louisiana Lafayette,112.2,100.6,0.7774,52.7,49.1,18.3,19.6,35.9,27.9,38,36.1,52.4,48.5,35.4,33.6,71.6,-0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.633333333
St. John's,106,95.1,0.7764,49.2,50.3,16.4,22.2,23.6,32,30.4,34.4,48.8,46,33.3,37.4,70.5,-3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.617647059
Buffalo,114.5,102.7,0.7761,54.8,48.8,16.5,18.1,31.9,29.1,29.9,39.5,54.3,48.4,37.1,33.1,73.8,-1.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.914285714
LSU,114.2,102.7,0.7721,54.5,52.7,16.6,19.6,29.2,31.6,32.5,32.7,56.3,52.6,34.6,35.3,69.5,-1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8
Georgetown,111.5,100.4,0.7688,51.8,50.8,20.7,17,31.3,26,38.3,28.3,50.1,49.9,36.6,34.8,71.4,-3.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.575757576
Indiana,108.8,98,0.7685,51.1,50.8,18.2,19.7,31.8,29.5,36.4,32.2,52.5,48.4,32.2,36.7,67.8,-2.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.542857143
Fresno St.,108.5,98,0.7631,54.5,49.6,17.4,18.8,26.6,24.6,38.4,39,52.7,46.7,39,36.8,67.7,-3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.741935484
Wisconsin,108.7,98.3,0.7618,50.9,51.2,16.8,18.4,28.4,27.7,32.7,30.2,51.2,50.6,33.5,35,63.9,-3.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.676470588
South Carolina,104.7,94.8,0.759,46.2,49.3,19.7,21,33.6,27.5,42.8,43.1,43.5,48.7,33.8,33.5,69.8,-3.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.516129032
Northwestern,109,99,0.7512,49.5,51,17.8,19,29.4,27.7,29.1,37,47.1,48.9,35.4,36.2,65.5,-4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.40625
Oregon,110,100,0.7501,53.3,50.3,17.1,19,31,26.8,31.7,36.3,53.1,48.4,35.7,35.6,68.6,-2.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.657894737
St. Bonaventure,109.6,99.7,0.7485,51.6,49,16.3,20.4,29.3,29.1,40.5,38.4,48.5,49.7,38.6,32,70.4,1.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.529411765
South Dakota,108.3,98.6,0.7458,52.1,48.4,15.7,19.9,29.4,27.1,35.7,29.7,51.9,47.1,35,33.7,71.7,-1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.464285714
Murray St.,110.6,100.8,0.7449,55,47.2,17.6,18,32.9,27.6,37.3,30.5,54.4,47.6,37.2,30.9,67.8,-0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.903225806
Boston College,112.6,102.8,0.7399,52.1,51.8,18.2,17.6,30.1,26,30.7,27.1,51.1,50.1,35.9,36.1,70.9,-1.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.451612903
Stanford,107.6,98.5,0.7341,51.9,49.7,20.6,15.9,32.8,27,41.6,29.2,50.3,47.9,36.9,35.1,71.9,-4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.483870968
Illinois,110.7,101.7,0.727,49.8,53.3,18.8,23.2,34,31.3,33.1,47.9,49.8,54.1,33.2,34.5,71.2,-6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.363636364
Iowa St.,110.2,101.3,0.7249,49.9,51,17,16.4,29.5,30.6,29.8,26.5,47.9,51,35.8,33.9,70.1,-4.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.657142857
Wake Forest,110.4,101.6,0.7242,50.5,51.5,18.8,17.5,30.5,27.7,31.9,39,47.4,48.1,37.4,37.7,70.7,-7.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.35483871
BYU,106.7,98.2,0.7226,54.1,51.3,16.8,18.5,22.5,22.8,37.6,28.4,55.3,51.9,34.7,33.6,68.7,-1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.59375
Belmont,112.3,103.4,0.7217,58.8,48.9,18.1,16.9,25.2,25.7,27.9,26.8,61.7,48.1,37.6,33.5,68.3,-2.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.84375
UNC Greensboro,103.4,95.2,0.7207,51.7,47.5,19.8,21.4,33.7,23.9,26,39.2,51.1,47.3,35,31.9,66.2,-1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.852941176
Iowa,116.1,106.9,0.7202,54.3,53.1,18.7,15.5,34.1,28,35.4,28.1,53.3,51.2,37.5,37.6,71.4,-5.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.657142857
Montana,106.7,98.4,0.7184,51.2,48.4,17.4,21.2,33.5,26.1,38.3,41.4,51.4,46.3,33.7,35.2,69.1,-1.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.787878788
Vanderbilt,114.7,105.9,0.7142,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,50.8,50.7,35.3,37.4,67,-6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.28125
Temple,107.4,99.3,0.7113,49.3,49.8,15.9,18.7,27.7,32.4,25.6,31.5,47.2,50.5,35,32.4,68.4,-3.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.696969697
DePaul,103.8,96,0.7111,47.9,52,19.4,20.2,32.9,28.1,29.4,32.3,48.5,49.2,31,37.1,71,-6.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.527777778
Northern Kentucky,106.2,98.3,0.7087,53.8,47.1,17.6,19.2,28,26.8,31,31.7,55.7,46.7,34,31.8,69.6,-4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.787878788
SMU,107.6,99.8,0.7041,52,49.5,18,21.7,32.7,31.7,30.5,30.6,48.7,48.6,37.9,33.8,65.4,-6.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.46875
Furman,108.1,100.8,0.6911,54.9,50.1,16.5,20.6,27,28.6,28.2,29.9,56.8,51.4,35.3,32,69.7,-4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.833333333
Georgia St.,108.8,101.5,0.6894,53.9,47.1,16.7,20.6,25.6,33.4,30.9,38.6,50.9,44,38.7,33.8,67.7,-5.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.727272727
Washington,105.9,98.8,0.6886,51.7,50.7,18.6,21.1,28.9,33.3,36.7,34.4,51.6,50.9,34.6,33.4,70.8,-2.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75
Tulsa,108.5,101.4,0.6853,50.7,49.5,18.6,17.9,32,29.6,41.6,25.3,49.7,47.9,34.7,34.4,68.8,-4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5625
Stephen F. Austin,103.8,97.1,0.6832,53.1,49.7,20.7,25.9,32,28.5,40.5,50.3,51.7,47.4,37.4,35.6,72.1,-1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.538461538
Utah Valley,109,102,0.6814,54.2,48.1,19.8,17.5,30.9,27.5,39.1,28.5,51.9,47.4,38.9,32.9,69.2,-4.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.757575758
New Mexico,113.2,106.1,0.6778,53.5,54.8,16.8,22,26.1,31,34.6,39.9,51.4,53.7,37.1,38.1,72.2,-6.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.451612903
Bucknell,108,101.3,0.676,53.9,47.8,17,17,27,27.5,42.6,34.5,55,47,34.8,33.1,72.9,-3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.636363636
Vermont,110.7,103.8,0.6759,55.9,50.6,16.9,16.8,26,22.6,41.8,25,53.8,49.9,39.9,34.6,65.2,-0.9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.818181818
Northern Colorado,106.7,100.2,0.674,53.7,48.8,16.7,17.3,25.6,24.4,33.7,36.7,54,48.7,35.5,32.8,73.1,-6.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.7
Northern Iowa,103.6,97.3,0.6732,48.5,49.8,17.5,17,24.5,22.1,31.3,25.6,47.3,46.4,33.5,37,63.7,-7.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5
Oregon St.,107.4,100.9,0.6713,52.1,49.6,19.4,18.6,31.8,28.7,38.7,38.2,53.3,48.1,32.9,34.8,66.8,-7.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.580645161
